UserID,GroupID,Role,Day,ShiftID,Shift,Shift Start H,Shift End H,Shift Start dt,Shift End dt,Target Type,Login Time,Login Seconds Shifter,Previous UserID,Previous Login Time,Target
0,1,Admin,2023-01-01,0.0,day,8.0,17.0,2023-01-01 08:00:00,2023-01-01 17:00:00,Self Work Station,2023-01-01 09:41:03.060907002,,,,0
0,1,Admin,2023-01-02,0.0,day,8.0,17.0,2023-01-02 08:00:00,2023-01-02 17:00:00,Self Work Station,2023-01-02 08:08:59.805345360,,0.0,2023-01-01 09:41:03.060907002,0
0,1,Admin,2023-01-02,0.0,day,8.0,17.0,2023-01-02 08:00:00,2023-01-02 17:00:00,other workstations,2023-01-02 12:00:32.443895183,-1767.556104816874,0.0,2023-01-02 08:08:59.805345360,128
0,1,Admin,2023-01-02,0.0,day,8.0,17.0,2023-01-02 08:00:00,2023-01-02 17:00:00,other workstations,2023-01-02 12:12:38.139441302,-1041.8605586979568,0.0,2023-01-02 12:00:32.443895183,104
0,1,Admin,2023-01-02,0.0,day,8.0,17.0,2023-01-02 08:00:00,2023-01-02 17:00:00,other workstations,2023-01-02 13:45:20.909711558,4520.909711558442,0.0,2023-01-02 12:12:38.139441302,99
0,1,Admin,2023-01-02,0.0,day,8.0,17.0,2023-01-02 08:00:00,2023-01-02 17:00:00,other workstations,2023-01-02 14:48:21.227305631,8301.227305631463,0.0,2023-01-02 13:46:16.502570123,102
0,1,Admin,2023-01-03,0.0,day,8.0,17.0,2023-01-03 08:00:00,2023-01-03 17:00:00,Self Work Station,2023-01-03 08:34:47.737500066,,0.0,2023-01-02 14:48:21.227305631,0
0,1,Admin,2023-01-03,0.0,day,8.0,17.0,2023-01-03 08:00:00,2023-01-03 17:00:00,other workstations,2023-01-03 08:57:24.256882703,-12755.74311729657,0.0,2023-01-03 08:34:47.737500066,30
0,1,Admin,2023-01-03,0.0,day,8.0,17.0,2023-01-03 08:00:00,2023-01-03 17:00:00,other workstations,2023-01-03 09:42:45.647355548,-10034.352644452167,0.0,2023-01-03 08:57:24.256882703,24
0,1,Admin,2023-01-03,0.0,day,8.0,17.0,2023-01-03 08:00:00,2023-01-03 17:00:00,other workstations,2023-01-03 10:23:38.548012313,-7581.451987687092,0.0,2023-01-03 09:42:45.647355548,46
