eventSource,eventType,eventTypeDisplayName,risk,eventSeverity,srcIpAddr,srcIpPort,ipProto,destIpAddr,destIpPort,reptDevIpAddr,user,deviceTime,recvTime
Unix,Generic-Unix-systemd,Generic-Unix-systemd,2,6,,,,127.0.0.1,,127.0.0.1,,2024-06-01 13:15:01,2024-06-01 13:15:11
Unix,Generic-Unix-systemd,Generic-Unix-systemd,2,6,,,,127.0.0.1,,127.0.0.1,,2024-06-01 13:15:01,2024-06-01 13:15:11
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.242.101,,192.168.242.101,,2024-06-01 13:15:01,2024-06-01 13:15:13
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.242.101,,192.168.242.101,,2024-06-01 13:15:02,2024-06-01 13:15:14
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.242.101,,192.168.242.101,,2024-06-01 13:15:01,2024-06-01 13:15:13
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-01 13:15:23,2024-06-01 13:15:19
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-01 13:15:23,2024-06-01 13:15:19
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-01 13:15:23,2024-06-01 13:15:19
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-01 13:15:33,2024-06-01 13:15:29
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-01 13:15:33,2024-06-01 13:15:29
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-01 13:15:33,2024-06-01 13:15:29
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-01 13:15:33,2024-06-01 13:15:29
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.167.14,,192.168.167.14,,2024-06-01 13:15:38,2024-06-01 13:15:34
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-01 13:15:44,2024-06-01 13:15:39
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-01 13:15:44,2024-06-01 13:15:39
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.172.18,,192.168.172.18,,2024-06-01 13:15:49,2024-06-01 13:15:46
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-01 13:15:54,2024-06-01 13:15:50
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-01 13:15:54,2024-06-01 13:15:50
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-01 13:15:54,2024-06-01 13:15:50
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-01 13:15:54,2024-06-01 13:15:50
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-01 02:21:57,2024-06-01 02:21:53
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.167.19,,192.168.167.19,,2024-05-31 14:10:16,2024-05-31 14:10:12
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.161.3,,192.168.161.3,,2024-06-01 14:26:01,2024-06-01 14:26:49
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.6,,192.168.242.6,,2024-06-01 14:26:01,2024-06-01 14:26:49
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.6,,192.168.242.6,,2024-06-01 14:26:01,2024-06-01 14:26:49
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.167.19,,192.168.167.19,,2024-05-30 23:23:47,2024-05-30 23:23:42
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.167.19,,192.168.167.19,,2024-05-30 23:23:47,2024-05-30 23:23:42
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.6,,192.168.242.6,,2024-06-02 05:46:01,2024-06-02 05:46:02
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.242.101,,192.168.242.101,,2024-06-01 17:26:01,2024-06-01 17:27:00
Unix,Generic-Unix-systemd,Generic-Unix-systemd,7,6,,,,192.168.172.10,,192.168.172.10,,2024-05-30 22:31:01,2024-05-30 22:30:09
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-02 06:56:05,2024-06-02 06:56:01
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-02 06:56:05,2024-06-02 06:56:01
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-02 06:56:10,2024-06-02 06:56:06
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-02 06:56:10,2024-06-02 06:56:06
Unix,Generic-Unix-systemd,Generic-Unix-systemd,2,6,,,,127.0.0.1,,127.0.0.1,,2024-06-02 06:56:01,2024-06-02 06:56:06
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-02 02:54:32,2024-06-02 02:54:27
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-02 02:54:32,2024-06-02 02:54:27
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.172.18,,192.168.172.18,,2024-05-31 13:13:57,2024-05-31 13:13:55
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-01 23:22:21,2024-06-01 23:22:17
Unix,Generic-Unix-systemd,Generic-Unix-systemd,7,6,,,,192.168.172.10,,192.168.172.10,,2024-06-01 20:48:01,2024-06-01 20:47:09
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.167.14,,192.168.167.14,,2024-06-01 00:39:43,2024-06-01 00:39:38
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.167.14,,192.168.167.14,,2024-06-01 00:39:43,2024-06-01 00:39:38
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.167.14,,192.168.167.14,,2024-06-01 00:39:44,2024-06-01 00:39:40
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.167.14,,192.168.167.14,,2024-05-31 11:39:28,2024-05-31 11:39:24
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.172.18,,192.168.172.18,,2024-06-01 05:26:26,2024-06-01 05:26:23
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-01 05:26:28,2024-06-01 05:26:23
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-01 05:26:27,2024-06-01 05:26:23
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-01 06:56:39,2024-06-01 06:57:44
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-01 06:56:39,2024-06-01 06:57:44
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-01 06:56:39,2024-06-01 06:57:44
Unix,Generic-Unix-systemd,Generic-Unix-systemd,7,6,,,,192.168.172.10,,192.168.172.10,,2024-05-31 01:11:01,2024-05-31 01:10:09
Unix,Generic-Unix-systemd,Generic-Unix-systemd,7,6,,,,192.168.172.10,,192.168.172.10,,2024-05-31 01:11:01,2024-05-31 01:10:09
Unix,Generic-Unix-systemd,Generic-Unix-systemd,7,6,,,,192.168.172.10,,192.168.172.10,,2024-05-31 01:11:01,2024-05-31 01:10:09
Unix,Generic-Unix-systemd,Generic-Unix-systemd,2,6,,,,127.0.0.1,,127.0.0.1,,2024-05-31 08:08:26,2024-05-31 08:08:35
Unix,Generic-Unix-systemd,Generic-Unix-systemd,2,6,,,,127.0.0.1,,127.0.0.1,,2024-05-31 08:08:26,2024-05-31 08:08:35
Unix,Generic-Unix-systemd,Generic-Unix-systemd,2,6,,,,127.0.0.1,,127.0.0.1,,2024-05-31 08:08:26,2024-05-31 08:08:35
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.161.3,,192.168.161.3,,2024-06-02 03:52:01,2024-06-02 03:51:57
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.6,,192.168.242.6,,2024-06-02 03:52:01,2024-06-02 03:51:57
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.6,,192.168.242.6,,2024-06-02 03:52:01,2024-06-02 03:51:57
Unix,Generic-Unix-systemd,Generic-Unix-systemd,7,6,,,,192.168.172.10,,192.168.172.10,,2024-05-31 07:25:17,2024-05-31 07:24:26
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-05-31 23:56:55,2024-05-31 23:56:51
Unix,Generic-Unix-systemd,Generic-Unix-systemd,2,6,,,,127.0.0.1,,127.0.0.1,,2024-05-31 02:59:01,2024-05-31 02:59:08
Unix,Generic-Unix-systemd,Generic-Unix-systemd,2,6,,,,127.0.0.1,,127.0.0.1,,2024-05-31 02:59:01,2024-05-31 02:59:08
Unix,Generic-Unix-systemd,Generic-Unix-systemd,7,6,,,,192.168.172.10,,192.168.172.10,,2024-06-01 04:02:01,2024-06-01 04:01:09
Unix,Generic-Unix-systemd,Generic-Unix-systemd,7,6,,,,192.168.172.10,,192.168.172.10,,2024-06-01 04:02:01,2024-06-01 04:01:09
Unix,Generic-Unix-systemd,Generic-Unix-systemd,2,6,,,,127.0.0.1,,127.0.0.1,,2024-06-02 02:02:01,2024-06-02 02:02:01
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-02 02:02:05,2024-06-02 02:02:01
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-02 02:02:05,2024-06-02 02:02:01
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-02 02:02:05,2024-06-02 02:02:01
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-02 02:02:05,2024-06-02 02:02:01
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.167.19,,192.168.167.19,,2024-06-01 01:30:14,2024-06-01 01:30:10
Unix,Generic-Unix-systemd,Generic-Unix-systemd,7,6,,,,192.168.172.10,,192.168.172.10,,2024-06-01 01:31:01,2024-06-01 01:30:10
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.167.19,,192.168.167.19,,2024-06-01 01:30:14,2024-06-01 01:30:10
Unix,Generic-Unix-systemd,Generic-Unix-systemd,7,6,,,,192.168.172.10,,192.168.172.10,,2024-06-01 01:31:01,2024-06-01 01:30:10
Unix,Generic-Unix-systemd,Generic-Unix-systemd,7,6,,,,192.168.172.10,,192.168.172.10,,2024-06-01 01:31:01,2024-06-01 01:30:09
Unix,Generic-Unix-systemd,Generic-Unix-systemd,7,6,,,,192.168.172.10,,192.168.172.10,,2024-06-01 01:31:01,2024-06-01 01:30:09
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.167.14,,192.168.167.14,,2024-05-31 02:07:15,2024-05-31 02:07:10
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.167.14,,192.168.167.14,,2024-05-31 02:07:15,2024-05-31 02:07:11
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-02 08:02:53,2024-06-02 08:03:37
Unix,Generic-Unix-systemd,Generic-Unix-systemd,2,6,,,,127.0.0.1,,127.0.0.1,,2024-05-31 03:50:41,2024-05-31 03:50:51
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-01 08:49:04,2024-06-01 08:48:59
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-01 08:49:04,2024-06-01 08:48:59
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-01 08:49:04,2024-06-01 08:48:59
Unix,Generic-Unix-systemd,Generic-Unix-systemd,2,6,,,,127.0.0.1,,127.0.0.1,,2024-05-31 15:06:01,2024-05-31 15:06:09
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.167.14,,192.168.167.14,,2024-05-31 20:54:17,2024-05-31 20:54:12
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-05-31 20:54:18,2024-05-31 20:54:14
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-05-31 20:54:18,2024-05-31 20:54:14
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.166.7,,192.168.166.7,,2024-06-02 00:14:31,2024-06-02 00:14:27
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-01 16:14:56,2024-06-01 16:16:12
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-01 16:14:56,2024-06-01 16:16:12
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-01 16:14:56,2024-06-01 16:16:12
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-01 16:14:56,2024-06-01 16:16:12
Unix,Generic-Unix-systemd,Generic-Unix-systemd,7,6,,,,192.168.172.10,,192.168.172.10,,2024-06-01 22:34:01,2024-06-01 22:33:09
Unix,Generic-Unix-systemd,Generic-Unix-systemd,7,6,,,,192.168.172.10,,192.168.172.10,,2024-06-01 22:34:01,2024-06-01 22:33:09
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.172.18,,192.168.172.18,,2024-05-31 04:40:48,2024-05-31 04:40:46
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.161.3,,192.168.161.3,,2024-05-31 17:58:01,2024-05-31 17:57:56
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.172.18,,192.168.172.18,,2024-05-31 17:58:00,2024-05-31 17:57:57
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.161.3,,192.168.161.3,,2024-05-31 17:58:01,2024-05-31 17:57:56
Unix,Generic-Unix-systemd,Generic-Unix-systemd,7,6,,,,192.168.172.10,,192.168.172.10,,2024-05-30 21:35:01,2024-05-30 21:34:09
Unix,Generic-Unix-systemd,Generic-Unix-systemd,7,6,,,,192.168.172.10,,192.168.172.10,,2024-05-30 21:35:01,2024-05-30 21:34:09
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.6,,192.168.242.6,,2024-06-02 01:12:01,2024-06-02 01:11:57
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.161.3,,192.168.161.3,,2024-06-02 01:12:01,2024-06-02 01:11:57
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.6,,192.168.242.6,,2024-06-02 01:12:01,2024-06-02 01:11:57
Unix,Generic-Unix-systemd,Generic-Unix-systemd,2,6,,,,127.0.0.1,,127.0.0.1,,2024-05-31 23:05:11,2024-05-31 23:05:15
Unix,Generic-Unix-systemd,Generic-Unix-systemd,2,6,,,,127.0.0.1,,127.0.0.1,,2024-05-31 23:05:11,2024-05-31 23:05:15
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-05-31 23:05:20,2024-05-31 23:05:15
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-05-31 23:05:20,2024-05-31 23:05:15
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.167.15,,192.168.167.15,,2024-05-31 05:32:24,2024-05-31 05:32:20
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.6,,192.168.242.6,,2024-06-01 14:26:01,2024-06-01 14:26:49
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.161.3,,192.168.161.3,,2024-06-01 14:26:01,2024-06-01 14:26:49
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.161.3,,192.168.161.3,,2024-06-01 14:26:01,2024-06-01 14:26:49
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-01 18:42:11,2024-06-01 18:42:32
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-01 18:42:11,2024-06-01 18:42:32
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-01 18:42:11,2024-06-01 18:42:32
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.6,,192.168.242.6,,2024-06-01 13:16:01,2024-06-01 13:15:56
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.161.3,,192.168.161.3,,2024-06-01 13:16:01,2024-06-01 13:15:57
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.161.3,,192.168.161.3,,2024-06-01 13:16:01,2024-06-01 13:15:57
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.166.4,,192.168.166.4,,2024-06-01 13:16:03,2024-06-01 13:15:59
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-01 13:16:04,2024-06-01 13:16:00
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-01 13:16:04,2024-06-01 13:16:00
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-01 13:16:04,2024-06-01 13:16:00
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.166.4,,192.168.166.4,,2024-06-01 13:16:10,2024-06-01 13:16:06
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.166.4,,192.168.166.4,,2024-06-01 13:16:10,2024-06-01 13:16:06
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.166.4,,192.168.166.4,,2024-06-01 13:16:10,2024-06-01 13:16:06
Unix,Generic-Unix-systemd,Generic-Unix-systemd,7,6,,,,192.168.172.10,,192.168.172.10,,2024-06-01 13:17:01,2024-06-01 13:16:09
Unix,Generic-Unix-systemd,Generic-Unix-systemd,7,6,,,,192.168.172.10,,192.168.172.10,,2024-06-01 13:17:01,2024-06-01 13:16:09
Unix,Generic-Unix-systemd,Generic-Unix-systemd,7,6,,,,192.168.172.10,,192.168.172.10,,2024-06-01 13:17:01,2024-06-01 13:16:09
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-01 13:16:14,2024-06-01 13:16:10
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-01 13:16:14,2024-06-01 13:16:10
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-01 13:16:14,2024-06-01 13:16:10
Unix,Generic-Unix-systemd,Generic-Unix-systemd,3,6,,,,192.168.242.50,,192.168.242.50,,2024-06-01 13:16:14,2024-06-01 13:16:10
Unix,Generic-Unix-systemd,Generic-Unix-systemd,2,6,,,,127.0.0.1,,127.0.0.1,,2024-06-01 13:16:01,2024-06-01 13:16:11
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.242.101,,192.168.242.101,,2024-06-01 13:16:01,2024-06-01 13:16:13
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.242.101,,192.168.242.101,,2024-06-01 13:16:01,2024-06-01 13:16:13
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.242.101,,192.168.242.101,,2024-06-01 13:16:01,2024-06-01 13:16:13
Unix,Generic-Unix-systemd,Generic-Unix-systemd,4,6,,,,192.168.242.101,,192.168.242.101,,2024-06-01 13:16:01,2024-06-01 13:16:13
